season,week,season_type,game_date,home_team,away_team,home_score,away_score,home_win,elo_diff,pythagorean_diff,win_pct_diff,ppg_diff,papg_diff,net_ppg_diff,yds_per_play_diff,def_yds_per_play_diff,turnover_diff_diff,passer_rating_diff,third_down_diff,red_zone_diff,injury_impact_diff,qb_out_home,qb_out_away,rest_days_diff,short_week_home,short_week_away,wind_adj,precip_adj,temp_adj,altitude_adj,divisional_game,is_neutral,vegas_home_prob,mc_win_pct
2021,15,2,2021-12-19,BAL,GB,30,31,0,-30.39,-0.0689,-0.1538,-1.85,0.92,-2.77,-0.074,0.037,-24.0,-23.008,-7.12,0.36,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.4955
2021,15,2,2021-12-20,TB,NO,0,9,0,45.14,0.1441,0.3077,8.15,0.92,7.23,0.326,0.037,3.0,14.243,11.63,5.78,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.602
2021,15,2,2021-12-20,CLE,LV,14,16,0,23.39,0.1159,0.0769,-0.38,-5.46,5.08,-0.015,-0.218,6.0,-9.221,1.772,10.33,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.5879
2021,15,2,2021-12-21,CHI,MIN,9,17,0,-42.75,-0.2218,-0.1538,-8.69,-0.08,-8.62,-0.348,-0.003,-24.0,-26.089,-1.682,-12.46,0.0,0,0,-3,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.4191
2021,15,2,2021-12-22,LAR,SEA,20,10,1,37.1,0.1067,0.3077,7.23,2.38,4.85,0.289,0.095,-3.0,-1.481,6.596,-4.58,0.0,0,0,-2,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.5833
2021,15,2,2021-12-22,PHI,WAS,27,17,1,29.39,0.2009,0.0,5.46,-2.54,8.0,0.218,-0.102,5.0,3.407,6.862,10.3,0.0,0,0,7,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.6304
2021,16,2,2021-12-24,TEN,SF,20,17,1,-2.54,-0.0291,0.0714,-1.64,-0.36,-1.29,-0.066,-0.014,1.0,-9.198,3.443,-4.37,0.0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0.5,0.5155
2021,16,2,2021-12-25,GB,CLE,24,22,1,46.61,0.1268,0.2857,4.79,-0.21,5.0,0.191,-0.009,16.0,22.775,4.413,-3.43,0.0,0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0.5,0.5934
2021,16,2,2021-12-26,ARI,IND,16,22,0,12.05,0.0017,0.1429,-1.43,-1.14,-0.29,-0.057,-0.046,-2.0,7.167,4.297,2.21,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.5309
2021,16,2,2021-12-26,ATL,DET,20,16,1,24.29,0.0056,0.2857,1.07,1.29,-0.21,0.043,0.051,-2.0,-1.489,4.121,5.18,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.5328
